Booking_Lead_Time,Fare_Class,Seats_Available,Seats_Booked,Competitor_Price,Fuel_Price,Public_Holiday,Weather_Impact
81,1,363,318,117,0.86,0,0
278,1,361,124,717,0.98,1,0
136,1,382,276,486,1.11,0,0
225,2,160,120,873,3.28,0,0
81,2,115,60,1087,1.04,0,2
122,0,216,150,622,1.57,1,0
3,1,378,52,1181,2.21,0,3
361,1,326,178,189,3.08,0,1
138,1,166,87,1047,2.51,0,1
364,1,242,180,976,3.24,1,0
293,0,305,284,286,2.85,0,1
39,2,310,252,92,0.78,0,3
297,1,250,139,923,2.68,0,0
288,1,357,191,833,1.3,0,0
70,1,322,145,393,2.64,0,0
98,1,341,165,528,1.83,0,0
318,1,231,173,22,2.22,0,0
191,1,326,165,1018,2.21,0,3
291,1,305,92,596,2.76,0,0
309,1,399,341,578,3.26,0,3
179,1,260,146,1002,0.65,0,1
1,1,163,141,950,0.87,0,0
140,1,185,54,11,1.33,0,0
82,1,124,108,316,2.78,0,0
80,0,370,351,1244,0.94,0,1
13,1,230,63,941,2.59,0,2
97,1,220,100,735,1.86,1,2
92,1,128,58,6,2.4,0,2
276,0,289,275,306,3.1,0,0
308,1,191,134,928,0.52,1,2
103,1,386,121,566,2.83,0,2
253,2,330,320,449,2.94,0,2
332,1,218,190,260,1.52,0,0
237,1,174,116,493,2.58,1,0
167,1,282,227,657,1.84,0,3
128,1,233,201,435,1.69,1,0
41,1,329,73,521,3.38,0,0
355,1,158,130,700,3.11,0,0
3,1,318,219,815,3.3,1,0
16,0,145,53,1065,0.8,0,2
62,2,164,92,779,1.17,0,0
74,1,283,106,103,0.55,0,0
250,1,197,106,1155,0.75,0,0
91,0,231,158,328,2.71,1,2
129,1,253,210,804,0.81,0,0
22,0,149,123,829,2.71,0,0
149,1,343,308,807,1.23,0,0
36,0,382,330,99,2.98,0,0
128,0,189,146,40,1.68,0,0
187,1,188,110,564,3.15,0,0
313,0,106,50,950,0.88,0,0
132,1,343,121,841,1.92,0,3
295,1,189,141,229,2.28,0,0
138,1,150,143,157,2.14,0,0
87,0,149,77,734,2.17,0,0
95,1,168,131,1165,2.78,0,0
50,0,277,123,692,0.84,0,0
143,1,201,109,1181,3.09,0,0
40,1,393,195,454,1.77,1,2
175,0,161,93,574,0.79,0,0
16,1,164,160,885,2.04,0,0
41,0,216,178,416,1.08,0,0
128,2,307,104,558,1.69,0,0
6,1,252,116,29,1.7,0,0
62,0,140,66,358,1.9,0,0
88,2,203,89,97,2.82,0,0
15,1,273,198,175,3.31,0,2
6,1,132,72,1195,3.24,0,2
121,1,375,244,1251,1.06,0,0
238,0,130,71,-38,2.63,0,0
2,1,227,146,827,3.46,1,0
89,1,112,87,1117,2.28,0,0
319,2,128,115,860,1.09,0,0
164,1,379,368,785,1.17,0,0
249,1,251,196,401,2.83,0,0
257,1,395,238,630,1.5,0,0
325,1,306,68,1127,3.39,0,0
144,1,207,186,1204,2.27,0,0
2,1,214,71,683,3.48,0,0
185,2,211,161,671,0.8,1,0
57,1,137,54,770,0.71,0,0
227,1,239,125,636,1.97,0,3
78,1,286,213,1242,3.15,0,0
63,1,230,165,1175,2.83,0,0
55,1,264,116,961,1.58,0,0
142,0,256,196,499,3.17,0,0
332,0,272,66,903,2.31,0,0
323,1,369,299,166,1.64,0,0
3,2,243,166,370,2.13,0,0
300,1,305,195,908,1.23,0,0
214,1,301,225,323,1.73,0,0
223,1,254,246,1061,2.89,0,0
251,1,303,225,1098,1.94,1,0
263,1,148,109,1197,0.72,0,1
73,1,394,261,354,3.02,0,2
279,2,153,57,186,0.7,0,0
296,0,241,161,319,2.75,1,0
226,1,206,164,498,1.29,1,0
212,0,110,102,1208,1.18,0,0
326,0,250,97,271,1.09,0,0
150,1,355,257,294,0.94,0,3
25,1,253,206,387,0.54,0,0
87,0,354,202,1117,3.04,1,0
337,1,211,176,278,3.48,0,0
89,1,301,286,546,0.75,0,0
246,1,193,122,1058,2.37,0,0
303,1,213,194,427,2.49,0,0
311,0,237,61,1159,1.3,0,0
48,1,362,303,1127,1.49,0,0
6,1,150,111,989,3.49,0,1
333,1,319,304,818,1.45,0,0
162,1,274,196,785,3.11,0,0
117,0,296,242,346,2.0,0,2
204,1,186,149,241,2.39,0,0
66,1,355,87,503,2.86,0,3
319,1,108,68,814,3.45,0,0
362,0,303,279,728,1.89,0,0
129,1,163,128,169,2.04,0,0
117,1,380,121,310,1.05,0,0
179,0,359,338,231,1.41,0,0
82,1,100,60,539,3.31,0,0
28,1,220,86,511,0.52,0,0
229,2,304,221,293,2.44,1,0
154,1,393,74,815,2.89,0,0
19,1,305,283,15,1.46,1,0
249,1,269,254,653,2.79,0,3
82,1,258,144,978,3.16,0,0
134,2,260,190,911,2.07,0,0
318,1,262,64,640,3.33,0,1
314,1,144,118,1242,1.58,0,3
295,1,276,254,633,1.95,0,0
99,1,374,166,113,0.83,0,2
211,1,224,170,814,2.23,0,2
119,1,242,109,117,1.43,1,0
68,1,167,125,950,2.08,0,0
138,0,300,263,46,0.62,0,3
78,1,357,346,141,3.47,0,0
199,0,240,50,971,2.49,0,0
125,1,391,264,596,0.82,0,2
199,1,131,76,769,1.6,0,0
22,1,168,137,742,0.88,1,0
228,1,294,149,521,3.29,0,0
271,2,148,105,421,2.02,0,0
335,1,142,108,77,1.36,0,0
32,0,353,180,1102,1.52,0,3
276,1,390,191,696,3.2,0,3
124,1,296,168,365,1.01,0,0
122,0,321,97,459,3.04,0,0
21,2,173,139,1075,0.88,0,2
228,1,308,171,589,2.31,0,0
238,1,392,174,799,1.18,0,0
149,1,240,160,179,2.99,0,2
122,0,114,80,595,2.02,0,0
195,1,105,86,410,2.26,0,0
117,1,202,180,242,3.49,0,2
177,1,375,178,1013,1.13,1,0
33,1,120,99,952,2.35,1,2
221,1,377,243,850,2.77,0,0
173,1,156,75,965,2.37,0,0
262,0,223,66,354,1.23,1,2
227,0,295,207,905,1.63,0,2
99,1,302,173,1184,0.69,1,2
141,1,387,179,132,0.97,0,0
187,2,292,253,1116,1.96,1,0
200,1,255,92,858,2.85,0,0
18,1,382,217,1195,2.85,0,0
98,1,217,102,167,2.38,0,1
124,1,190,133,502,2.92,1,0
137,1,122,85,267,1.77,1,0
106,1,378,50,753,1.63,1,0
21,1,152,96,660,2.31,0,2
127,0,100,93,87,2.6,1,0
15,1,175,153,412,1.42,0,0
294,1,225,183,49,2.34,0,0
58,0,282,144,1157,1.4,0,0
225,1,304,298,608,0.68,0,0
239,1,317,262,1070,1.55,0,0
4,1,304,71,700,2.56,0,3
74,0,353,143,170,3.29,0,0
145,1,250,166,170,1.35,0,3
3,2,391,367,742,3.3,0,0
281,2,352,326,793,2.82,0,2
223,1,142,101,1217,2.0,0,0
58,1,181,68,478,3.36,0,0
265,1,219,218,894,2.54,1,0
334,1,265,141,917,1.53,0,0
178,1,366,232,85,0.7,0,0
23,1,107,90,148,2.86,0,1
189,1,372,50,450,3.36,0,0
62,2,267,66,111,3.48,1,0
248,2,348,70,748,0.74,0,0
179,1,347,168,217,1.88,0,0
122,1,178,176,-30,3.1,0,0
201,0,341,196,366,1.99,0,3
175,1,194,172,425,2.34,0,0
160,2,181,124,210,2.46,0,0
229,0,152,88,258,3.32,0,0
304,2,385,283,932,2.42,0,0
235,0,202,157,743,2.79,0,0
355,1,295,54,856,2.86,0,0
98,1,313,281,505,1.37,1,2
208,1,239,131,385,0.63,1,3
259,1,294,58,906,2.15,0,0
359,1,173,151,1021,1.59,0,0
139,1,111,71,479,1.7,0,0
182,2,290,116,425,2.88,0,2
214,1,366,100,670,2.86,0,2
119,0,349,242,1200,1.38,0,0
28,2,258,76,728,3.45,0,0
90,1,158,94,762,0.83,0,2
40,0,338,281,688,3.34,0,3
273,1,208,182,39,2.59,0,0
4,2,396,349,963,3.42,0,0
162,1,347,115,305,1.68,0,2
355,1,140,54,1146,2.72,0,1
169,1,326,102,301,2.2,0,0
125,0,187,52,685,2.45,0,0
217,1,148,96,377,1.31,0,0
147,0,106,76,314,3.32,0,2
353,1,280,64,521,2.56,0,0
314,1,393,85,290,3.19,1,0
331,1,153,128,1107,1.42,0,2
273,0,177,142,542,3.0,0,2
236,1,250,140,984,1.24,0,0
357,1,386,105,816,1.95,0,0
244,1,324,62,144,2.99,0,3
111,1,318,288,783,1.57,0,0
177,0,312,150,1209,1.07,0,2
146,1,177,135,24,1.95,0,0
308,1,288,52,632,0.74,0,0
176,1,322,140,1137,1.41,1,3
121,1,139,111,1056,1.96,0,3
229,1,129,121,632,1.9,0,2
258,2,165,68,748,1.7,0,0
120,1,356,209,389,1.15,1,0
287,1,223,164,1036,0.92,0,0
360,1,301,76,773,2.19,0,2
237,1,318,89,853,0.92,0,2
156,1,342,238,345,1.91,0,0
326,1,293,155,336,2.2,0,0
153,1,281,127,397,3.12,0,1
210,1,299,163,446,1.69,0,0
70,2,161,125,491,1.0,0,0
224,1,376,296,1191,2.45,0,3
229,1,160,116,1130,1.45,0,0
357,1,319,316,351,2.45,0,0
95,0,156,148,474,3.25,0,0
90,1,351,86,800,3.41,0,0
39,1,184,68,1218,1.99,0,2
187,0,352,191,577,0.64,0,0
138,1,336,158,361,1.53,0,0
103,1,165,68,464,1.18,0,0
324,1,318,213,206,2.93,0,0
320,1,148,113,1167,1.74,1,0
93,1,325,242,1258,2.82,1,0
269,1,122,73,688,2.53,0,0
77,1,321,275,111,3.08,1,0
56,1,339,90,1125,0.98,0,0
207,2,105,104,1159,1.71,0,0
146,1,340,187,573,2.26,1,0
242,1,179,100,388,0.66,1,0
43,1,376,247,693,1.88,0,0
305,2,211,103,247,0.89,0,3
59,1,161,153,36,1.31,0,2
180,1,101,95,859,2.14,0,0
124,1,346,307,738,0.81,0,0
249,1,180,127,1122,0.55,0,3
359,1,258,82,659,3.12,0,0
197,1,397,313,1010,0.71,0,0
247,1,253,112,76,2.58,0,1
86,1,198,169,230,1.85,0,0
50,1,220,57,1074,1.83,0,0
22,0,352,100,260,3.47,0,0
263,1,325,59,67,1.2,0,0
329,1,218,64,1019,0.88,0,0
118,2,381,373,632,1.61,0,0
269,1,284,217,626,3.18,0,0
150,0,335,219,1037,2.51,1,0
337,0,221,90,1015,0.89,0,0
286,0,163,88,301,2.29,0,0
19,1,330,281,519,2.32,0,3
332,1,360,238,1079,1.65,0,0
220,0,136,111,848,1.75,0,1
122,0,379,155,252,1.29,0,3
336,1,280,53,1163,2.78,0,0
339,2,310,168,331,3.2,0,0
135,2,229,170,902,0.85,0,0
49,2,219,183,360,2.97,0,2
322,2,191,92,47,0.91,0,0
130,0,365,150,1049,1.46,0,0
265,2,397,388,585,0.97,1,0
108,1,139,134,817,2.59,1,0
182,1,338,246,305,2.06,0,0
47,1,345,92,110,3.46,0,0
128,0,335,222,509,3.0,0,0
99,1,157,142,1018,3.41,0,3
363,0,286,285,914,0.73,0,0
138,1,216,189,222,1.77,1,2
144,1,109,78,730,3.23,1,0
103,0,244,129,1094,1.42,1,0
18,2,212,113,748,3.09,0,0
338,1,101,80,1071,3.43,1,3
266,2,156,118,587,2.85,1,3
23,2,288,181,877,2.98,1,2
221,1,273,126,1162,2.21,0,0
33,1,302,52,72,2.09,0,0
97,1,224,190,873,3.41,0,0
12,1,171,146,588,2.0,0,0
364,0,116,81,938,0.78,0,0
67,1,224,141,365,3.32,0,0
79,1,358,164,276,2.79,1,0
343,1,231,144,273,0.86,0,2
19,1,230,118,112,0.68,1,0
209,1,234,57,551,2.95,0,3
257,1,165,142,274,0.56,0,2
345,1,271,153,124,2.82,0,2
356,1,111,95,652,1.27,0,2
2,1,375,106,663,3.08,0,0
275,1,202,174,310,2.65,0,0
196,1,158,116,1027,1.44,0,0
206,1,277,247,838,1.64,1,0
120,1,355,112,203,0.53,0,2
21,0,286,115,1108,2.45,0,1
187,0,264,190,335,0.72,1,2
241,1,321,200,799,3.43,1,2
216,2,399,154,764,2.59,0,2
61,2,283,243,903,3.01,0,0
344,0,214,146,139,0.53,0,0
205,0,308,295,915,0.53,0,0
364,1,206,164,967,0.75,0,0
260,0,198,102,371,2.66,0,3
172,1,196,66,385,1.18,1,0
362,0,108,101,260,0.96,1,0
134,1,271,221,477,2.24,0,2
59,1,318,58,117,2.27,0,0
90,1,164,80,738,3.33,0,0
245,1,228,55,648,1.58,0,0
34,1,151,51,428,2.23,0,2
36,1,269,164,702,1.08,0,0
315,1,212,208,918,3.39,0,2
193,1,100,92,262,0.71,0,0
157,0,104,66,70,0.66,0,0
343,0,328,321,516,1.2,0,2
181,2,202,187,773,2.81,0,0
346,1,289,66,561,0.94,0,0
234,1,325,251,754,2.44,0,0
332,0,232,100,1012,3.12,0,0
129,1,134,61,31,0.86,0,0
76,0,268,88,298,1.33,0,0
8,1,242,141,209,3.3,0,0
128,1,218,103,218,3.33,0,2
119,0,296,205,1079,2.15,0,0
21,1,139,107,1008,2.82,1,0
322,1,258,67,611,1.04,0,0
131,1,160,124,1076,2.92,1,0
38,1,275,167,604,3.16,0,0
85,1,357,127,400,2.58,0,0
347,1,180,94,380,2.62,0,0
165,1,274,184,548,2.96,0,0
69,1,203,197,1129,2.65,0,2
110,0,282,73,629,2.54,0,0
91,1,221,85,1011,3.42,0,0
108,1,152,118,1098,2.07,0,0
19,1,252,164,1062,3.19,0,2
84,1,168,114,1060,2.63,0,0
248,1,231,74,849,0.53,0,0
25,1,147,137,104,3.31,0,0
40,1,388,63,269,2.72,0,3
209,1,397,111,748,1.68,0,0
150,2,253,183,955,0.94,0,2
115,1,311,294,734,2.98,0,0
264,1,392,249,57,1.16,0,0
183,1,142,80,261,2.45,0,0
27,1,149,59,863,2.06,0,0
328,0,294,122,1001,2.73,0,2
160,1,181,130,782,0.7,1,3
253,1,365,242,496,1.31,0,0
240,1,106,79,699,2.44,0,0
152,1,282,209,997,1.81,0,2
313,1,313,212,1171,3.46,0,0
306,0,102,67,627,2.59,0,3
128,0,310,96,222,1.13,0,0
119,1,311,78,823,0.69,0,0
100,1,109,70,556,1.79,0,0
238,1,146,140,656,2.49,0,0
70,0,187,114,467,1.01,1,0
106,1,393,166,644,2.39,0,3
296,1,219,208,1106,1.87,0,0
143,1,137,110,44,1.41,0,0
325,1,243,78,626,1.71,0,2
215,1,147,70,233,3.26,0,1
93,2,397,129,244,3.15,1,0
327,1,117,77,258,1.25,0,3
19,0,388,58,484,1.77,0,2
296,1,165,120,248,2.14,0,0
16,0,320,237,685,1.36,0,0
4,1,277,239,798,1.76,1,1
75,0,109,50,212,2.19,1,0
58,1,319,118,1016,1.2,0,2
59,1,155,150,595,2.37,0,0
116,1,288,220,793,2.25,1,0
336,1,361,219,154,2.67,0,0
357,0,205,135,520,1.1,0,0
229,1,306,92,510,1.42,0,0
30,1,103,96,624,3.2,0,2
202,1,195,142,1179,1.5,0,3
298,0,164,106,483,2.58,1,2
218,0,212,77,750,2.72,0,0
248,1,324,67,1211,3.46,0,0
117,2,151,97,300,1.97,0,0
69,1,392,108,976,0.57,1,3
347,1,208,87,109,3.06,0,0
179,1,299,78,143,1.01,0,0
301,0,182,103,1042,3.15,0,0
362,1,210,69,234,1.41,0,0
256,1,315,123,891,2.37,0,2
141,0,323,153,1165,2.98,0,1
140,1,331,167,621,2.69,0,0
302,1,331,118,411,1.19,0,0
155,1,113,88,435,2.81,0,0
11,1,290,281,155,1.54,0,0
280,1,276,97,950,2.01,0,0
127,1,305,304,413,2.34,0,0
86,1,166,71,67,3.42,0,1
18,1,199,105,459,3.08,0,0
237,1,121,82,252,1.96,0,3
134,1,101,99,293,0.77,0,1
194,0,264,211,367,2.4,1,0
6,1,324,59,871,1.16,0,0
308,1,215,147,353,1.23,0,0
325,1,137,56,231,1.54,0,0
56,1,220,85,797,0.98,0,0
231,1,155,119,318,1.92,0,0
318,1,119,62,888,1.58,1,2
319,1,332,273,330,1.16,0,0
242,1,308,64,522,1.09,0,0
319,1,149,113,709,0.83,1,0
114,1,140,96,903,1.23,1,2
308,0,384,95,163,2.92,1,3
170,1,152,141,638,1.48,0,0
173,1,346,232,194,2.77,0,0
310,0,194,141,418,2.92,1,0
113,1,111,89,204,1.73,0,2
257,1,272,93,116,1.07,1,0
61,1,137,78,741,2.76,1,2
39,1,208,90,1022,0.88,0,2
121,2,213,184,366,1.33,1,0
149,1,104,93,192,0.75,0,0
209,0,138,104,802,1.54,0,2
104,1,196,153,1115,1.77,1,2
104,2,127,122,604,0.57,0,1
99,1,176,71,806,0.59,0,0
193,1,399,289,796,0.56,1,0
286,0,138,133,549,1.92,0,0
57,0,158,153,293,0.9,0,0
74,1,194,190,217,2.98,0,0
5,1,244,99,210,2.28,0,0
78,1,202,130,678,0.93,0,2
174,2,374,83,879,0.84,0,0
25,0,319,75,804,1.64,0,0
324,1,305,228,1115,1.78,0,0
194,1,159,55,577,0.79,1,0
164,2,397,184,525,0.61,0,0
343,0,162,81,788,0.98,0,0
239,1,368,211,874,3.02,0,2
263,1,327,308,479,1.88,1,2
204,1,325,222,358,1.52,0,0
53,1,334,321,779,0.84,0,0
147,1,184,144,710,1.57,0,0
102,1,133,122,454,2.47,0,0
35,0,204,149,1171,2.1,0,0
35,1,109,79,689,3.06,0,2
235,1,360,85,743,2.58,0,3
65,1,121,73,506,1.25,1,0
215,1,104,103,948,1.59,0,0
95,1,127,64,769,0.55,0,2
28,1,127,59,1027,1.39,0,0
267,1,281,154,515,1.64,0,0
222,1,282,145,1047,1.64,0,0
110,0,260,142,820,1.33,0,0
92,0,186,111,35,1.72,0,0
159,2,276,209,544,2.28,0,0
133,1,127,80,95,0.98,0,0
286,1,299,251,734,1.92,1,1
145,0,332,105,1032,3.07,0,0
100,1,335,222,388,3.1,0,0
182,1,249,248,722,2.89,0,2
208,0,110,84,1177,0.72,0,1
227,0,220,113,-8,0.63,0,2
364,1,199,113,1179,2.11,0,0
57,1,220,116,440,1.13,0,0
80,1,168,137,68,1.26,0,0
143,1,289,251,754,2.29,0,0
55,1,391,217,544,2.58,1,3
53,1,379,64,695,1.96,0,0
163,0,116,76,687,1.75,1,0
228,1,331,259,369,2.67,0,0
249,1,280,117,651,2.49,0,2
226,1,209,162,783,2.74,0,2
97,1,125,106,497,2.04,0,0
321,1,214,67,1108,2.21,0,0
20,0,122,86,1126,2.52,0,0
278,1,191,113,-9,2.11,0,3
14,2,239,69,615,1.23,0,2
268,1,330,93,143,1.43,0,0
31,1,365,176,1064,1.6,0,0
41,1,220,126,312,2.14,0,2
266,1,353,226,742,1.08,0,0
215,1,369,329,631,0.59,0,0
92,2,343,307,942,1.23,0,3
225,2,184,154,401,3.1,0,2
202,2,352,286,643,1.4,0,0
23,2,326,285,447,1.27,1,0
124,1,325,197,1058,1.77,1,3
151,1,171,91,798,1.19,0,0
274,1,368,326,1167,2.79,0,0
71,1,333,185,1067,2.04,0,0
49,1,201,91,141,1.48,0,0
325,1,258,137,320,1.15,0,0
69,2,270,163,1173,0.9,0,2
33,1,233,175,1079,0.81,0,3
67,1,148,142,679,1.43,0,0
318,1,296,97,214,1.36,0,0
204,1,184,113,1025,2.11,0,0
132,1,140,104,822,1.64,1,0
48,1,213,96,567,1.92,0,0
362,0,390,237,996,2.47,1,0
344,1,193,116,901,0.52,0,0
125,0,167,166,974,0.69,1,0
41,1,314,166,605,2.97,1,0
152,1,147,59,83,2.09,0,0
134,0,345,249,1056,1.97,0,3
109,1,109,51,787,0.64,0,0
123,1,259,103,511,2.77,0,0
184,1,388,369,821,2.31,0,0
193,0,205,191,301,2.91,0,0
85,2,234,147,783,2.64,0,0
232,0,351,208,290,2.21,0,3
15,1,153,142,484,3.33,0,0
143,1,318,69,303,1.57,0,0
170,1,354,115,1048,0.9,0,0
11,1,321,295,87,2.42,0,0
129,1,332,78,540,3.44,0,0
195,2,107,87,677,3.19,0,0
205,1,182,54,315,3.29,0,0
32,0,305,119,168,1.31,0,2
259,0,138,105,157,2.53,0,2
216,1,293,129,74,1.01,0,0
127,1,191,181,976,0.77,0,0
298,0,164,135,424,1.59,0,2
287,1,271,215,909,1.78,0,0
227,1,215,128,358,0.64,0,0
183,1,214,147,254,2.46,0,3
214,1,333,66,987,2.83,0,0
86,1,287,204,443,0.96,1,0
28,0,192,55,728,2.31,0,0
241,0,162,120,86,0.97,0,0
167,1,223,57,155,1.51,0,0
303,1,359,354,464,1.37,0,0
244,1,242,168,830,1.63,0,0
231,0,190,130,1085,1.89,0,1
241,1,288,51,1129,3.08,1,0
104,1,196,79,551,3.28,0,3
175,1,264,172,915,2.04,0,2
124,1,102,91,701,2.52,0,0
17,1,297,102,572,2.4,0,0
269,1,132,109,1103,2.41,0,0
321,1,194,145,771,3.48,0,0
171,1,138,53,264,2.69,1,0
137,1,389,273,870,3.05,1,0
362,1,370,110,256,3.42,0,2
206,0,149,68,1123,1.52,0,0
356,1,237,121,218,0.52,0,0
5,2,337,64,164,1.77,0,2
267,0,245,50,1067,1.64,0,0
109,1,332,89,300,2.58,0,0
278,0,330,198,1031,2.88,0,0
143,1,208,92,311,2.33,0,0
62,1,161,94,578,1.88,0,3
263,1,160,70,669,1.83,0,0
108,1,131,72,408,2.58,0,2
43,2,185,178,175,2.53,0,0
306,1,322,51,800,3.09,1,0
274,2,152,135,280,2.76,1,2
118,0,211,174,367,2.32,0,1
148,1,117,81,1163,2.53,1,0
237,1,207,170,1137,1.24,0,2
8,1,278,128,592,2.0,0,0
302,1,303,139,361,1.58,0,0
177,1,277,258,452,3.49,0,3
5,1,142,99,909,3.01,0,2
93,1,288,166,73,1.92,0,0
36,1,108,72,350,1.99,1,0
361,1,318,200,239,2.2,0,0
102,1,219,152,346,1.56,0,1
267,1,150,81,495,2.99,0,0
121,1,109,55,492,2.82,0,3
83,1,318,231,74,1.37,0,3
189,0,186,131,1150,3.28,1,0
341,1,147,112,456,2.68,0,1
206,0,159,92,636,1.36,0,2
294,1,238,92,341,1.66,0,0
107,1,156,53,476,3.23,1,0
329,1,101,89,280,2.86,0,1
327,1,240,130,613,3.34,0,0
88,0,333,218,509,0.91,0,0
134,1,263,112,438,0.93,0,2
360,0,219,115,121,1.73,0,0
49,1,371,244,10,1.65,0,0
